Date,IBM
04/02/2013,175.264618
05/02/2013,174.404617
06/02/2013,173.610077
07/02/2013,172.504578
08/02/2013,174.180069
11/02/2013,172.86731
12/02/2013,172.763687
13/02/2013,172.806885
14/02/2013,172.426849
15/02/2013,173.5755
19/02/2013,173.005524
20/02/2013,172.133209
21/02/2013,171.286835
22/02/2013,173.670517
25/02/2013,170.578659
26/02/2013,171.98642
27/02/2013,174.741425
28/02/2013,173.445984
01/03/2013,175.242355
04/03/2013,177.211472
05/03/2013,178.368729
06/03/2013,179.966476
07/03/2013,180.864685
08/03/2013,181.693787
11/03/2013,181.434692
12/03/2013,181.840591
13/03/2013,183.144684
14/03/2013,186.374741
15/03/2013,185.614716
18/03/2013,184.137909
19/03/2013,184.336502
20/03/2013,185.735626
21/03/2013,183.317413
22/03/2013,183.161987
25/03/2013,182.004684
26/03/2013,183.403839
27/03/2013,182.134216
28/03/2013,184.215622
01/04/2013,183.421051
02/04/2013,185.131088
03/04/2013,183.662888
04/04/2013,182.496979
05/04/2013,180.856049
08/04/2013,180.77832
09/04/2013,180.691956
10/04/2013,183.092896
11/04/2013,183.887466
12/04/2013,182.557449
15/04/2013,180.726486
16/04/2013,183.092896
17/04/2013,181.080597
18/04/2013,178.904175
19/04/2013,164.092682
22/04/2013,162.218582
23/04/2013,165.483139
24/04/2013,165.569489
25/04/2013,167.504105
26/04/2013,167.815002
29/04/2013,171.995056
30/04/2013,174.922791
01/05/2013,172.409607
02/05/2013,174.793259
03/05/2013,176.624161
06/05/2013,175.130081
07/05/2013,175.864182
08/05/2013,177.721039
09/05/2013,176.350067
10/05/2013,177.417328
13/05/2013,175.681931
14/05/2013,176.324036
15/05/2013,176.419464
16/05/2013,177.608215
17/05/2013,180.862091
20/05/2013,180.133224
21/05/2013,181.044266
22/05/2013,179.603928
23/05/2013,178.883759
24/05/2013,178.501953
28/05/2013,180.289444
29/05/2013,180.410858
30/05/2013,181.66037
31/05/2013,180.49765
03/06/2013,181.304565
04/06/2013,178.90979
05/06/2013,175.916229
06/06/2013,176.835983
07/06/2013,179.048615
10/06/2013,177.894592
11/06/2013,176.992188
12/06/2013,174.579987
13/06/2013,176.809937
14/06/2013,175.447662
17/06/2013,176.176559
18/06/2013,177.764435
19/06/2013,175.222092
20/06/2013,171.239365
21/06/2013,169.599426
24/06/2013,167.933441
25/06/2013,169.182922
26/06/2013,169.078812
27/06/2013,169.764297
28/06/2013,165.824982
01/07/2013,165.972458
02/07/2013,166.163345
03/07/2013,167.681839
05/07/2013,169.139526
08/07/2013,169.182922
09/07/2013,165.989822
10/07/2013,166.814102
11/07/2013,167.291336
12/07/2013,166.657959
15/07/2013,168.332611
16/07/2013,168.202469
17/07/2013,168.809814
18/07/2013,171.794693
19/07/2013,167.933441
22/07/2013,168.41069
23/07/2013,169.182922
24/07/2013,170.597275
25/07/2013,171.126541
26/07/2013,171.239365
29/07/2013,170.250214
30/07/2013,170.076675
31/07/2013,169.23497
01/08/2013,169.903122
02/08/2013,169.339142
05/08/2013,169.63414
06/08/2013,165.72081
07/08/2013,164.430206
08/08/2013,163.880829
09/08/2013,163.784943
12/08/2013,164.89241
13/08/2013,164.308121
14/08/2013,163.532059
15/08/2013,162.014679
16/08/2013,161.622299
19/08/2013,160.654327
20/08/2013,160.942078
21/08/2013,161.203735
22/08/2013,161.491455
23/08/2013,161.692047
26/08/2013,161.099075
27/08/2013,159.355011
28/08/2013,158.849228
29/08/2013,159.267807
30/08/2013,158.94516
03/09/2013,160.4189
04/09/2013,159.695084
05/09/2013,160.584564
06/09/2013,159.60788
09/09/2013,161.308334
10/09/2013,162.721069
11/09/2013,166.296371
12/09/2013,166.322525
13/09/2013,167.578247
16/09/2013,168.432861
17/09/2013,167.569519
18/09/2013,169.540329
19/09/2013,168.642105
20/09/2013,165.7034
23/09/2013,166.549271
24/09/2013,165.65976
25/09/2013,165.223801
26/09/2013,165.877792
27/09/2013,163.000015
30/09/2013,161.482758
01/10/2013,162.529221
02/10/2013,161.290909
03/10/2013,160.331665
04/10/2013,160.541
07/10/2013,158.71843
08/10/2013,155.849457
09/10/2013,158.116714
10/10/2013,161.125214
11/10/2013,162.337372
14/10/2013,163.043686
15/10/2013,161.029327
16/10/2013,162.834412
17/10/2013,152.457214
18/10/2013,151.541611
21/10/2013,150.739365
22/10/2013,152.57933
23/10/2013,153.276932
24/10/2013,155.04718
25/10/2013,154.218735
28/10/2013,154.654785
29/10/2013,158.814331
30/10/2013,157.096451
31/10/2013,156.276749
01/11/2013,156.294174
04/11/2013,157.201096
05/11/2013,155.090744
06/11/2013,157.09848
07/11/2013,157.808594
08/11/2013,157.79982
11/11/2013,160.333496
12/11/2013,160.500107
13/11/2013,160.920929
14/11/2013,159.74614
15/11/2013,160.605301
18/11/2013,161.727478
19/11/2013,162.411346
20/11/2013,162.358719
21/11/2013,161.429443
22/11/2013,158.948318
25/11/2013,156.879288
26/11/2013,155.450226
27/11/2013,156.905563
29/11/2013,157.528046
02/12/2013,155.599258
03/12/2013,154.371857
04/12/2013,154.073776
05/12/2013,154.371857
06/12/2013,155.765823
09/12/2013,155.581741
10/12/2013,155.28363
11/12/2013,153.600357
12/12/2013,151.995987
13/12/2013,151.496246
16/12/2013,155.923645
17/12/2013,154.091293
18/12/2013,156.668869
19/12/2013,158.00148
20/12/2013,157.826126
23/12/2013,159.763687
24/12/2013,160.631638
26/12/2013,162.499039
27/12/2013,162.262314
30/12/2013,163.428314
31/12/2013,164.445328
02/01/2014,162.656815
03/01/2014,163.629974
06/01/2014,163.068848
07/01/2014,166.321503
08/01/2014,164.796021
09/01/2014,164.278748
10/01/2014,164.173523
13/01/2014,161.455719
14/01/2014,162.998703
15/01/2014,164.59433
16/01/2014,165.488586
17/01/2014,166.654617
21/01/2014,165.199295
22/01/2014,159.781189
23/01/2014,160.201996
24/01/2014,157.492981
27/01/2014,155.967484
28/01/2014,155.046936
29/01/2014,154.65239
30/01/2014,155.494064
31/01/2014,154.897873
03/02/2014,151.583893
04/02/2014,151.531311
05/02/2014,152.758743
06/02/2014,153.975189
07/02/2014,156.249512
10/02/2014,156.152557
11/02/2014,158.409256
12/02/2014,158.8853
13/02/2014,160.295715
14/02/2014,161.926529
18/02/2014,161.485748
19/02/2014,161.274185
20/02/2014,162.42897
21/02/2014,161.133148
24/02/2014,161.714981
25/02/2014,161.521011
26/02/2014,162.252686
27/02/2014,163.319336
28/02/2014,163.231186
03/03/2014,162.42897
04/03/2014,164.350723
05/03/2014,164.967743
06/03/2014,165.408524
07/03/2014,165.443771
10/03/2014,164.306625
11/03/2014,164.632797
12/03/2014,164.156769
13/03/2014,162.111649
14/03/2014,160.621872
17/03/2014,163.795334
18/03/2014,164.676895
19/03/2014,162.825684
20/03/2014,165.637741
21/03/2014,164.553482
24/03/2014,165.946259
25/03/2014,171.931778
26/03/2014,169.798508
27/03/2014,167.339081
28/03/2014,167.88562
31/03/2014,169.683929
01/04/2014,171.455765
02/04/2014,170.618317
03/04/2014,169.860229
04/04/2014,169.04921
07/04/2014,171.473389
08/04/2014,170.38913
09/04/2014,173.342224
10/04/2014,172.495941
11/04/2014,172.063995
14/04/2014,174.338318
15/04/2014,173.677185
16/04/2014,173.13063
17/04/2014,167.497742
21/04/2014,169.489975
22/04/2014,169.384201
23/04/2014,169.013931
24/04/2014,167.682816
25/04/2014,167.16275
28/04/2014,170.256927
29/04/2014,171.993515
30/04/2014,173.192352
01/05/2014,170.600693
02/05/2014,168.758301
05/05/2014,168.599609
06/05/2014,167.515366
07/05/2014,167.843445
08/05/2014,167.497635
09/05/2014,168.535004
12/05/2014,170.742783
13/05/2014,170.405869
14/05/2014,167.329208
15/05/2014,165.325333
16/05/2014,165.85733
19/05/2014,165.804153
20/05/2014,163.933304
21/05/2014,165.26326
22/05/2014,164.633728
23/05/2014,164.864273
27/05/2014,163.83577
28/05/2014,162.328461
29/05/2014,162.931335
30/05/2014,163.463348
02/06/2014,164.642624
03/06/2014,163.472229
04/06/2014,163.596359
05/06/2014,164.899734
06/06/2014,165.245544
09/06/2014,165.112549
10/06/2014,163.401291
11/06/2014,161.592529
12/06/2014,160.679291
13/06/2014,161.867355
16/06/2014,161.681198
17/06/2014,161.601395
18/06/2014,162.789505
19/06/2014,162.097931
20/06/2014,160.971893
23/06/2014,161.494995
24/06/2014,160.377823
25/06/2014,160.235947
26/06/2014,159.925583
27/06/2014,161.113739
30/06/2014,160.723618
01/07/2014,165.227814
02/07/2014,167.03656
03/07/2014,167.160706
07/07/2014,166.726227
08/07/2014,165.999176
09/07/2014,167.063187
10/07/2014,166.424744
11/07/2014,166.690796
14/07/2014,168.339951
15/07/2014,167.125275
16/07/2014,170.55661
17/07/2014,170.671844
18/07/2014,170.680725
21/07/2014,169.217743
22/07/2014,172.0905
23/07/2014,171.682648
24/07/2014,173.110153
25/07/2014,172.365356
28/07/2014,173.588943
29/07/2014,172.516083
30/07/2014,172.010696
31/07/2014,169.944794
01/08/2014,167.710434
04/08/2014,168.144913
05/08/2014,165.892761
06/08/2014,165.866028
07/08/2014,164.376602
08/08/2014,166.454697
11/08/2014,167.203873
12/08/2014,167.087936
13/08/2014,167.631989
14/08/2014,167.56955
15/08/2014,167.123642
18/08/2014,168.889557
19/08/2014,169.522827
20/08/2014,169.549591
21/08/2014,170.557419
22/08/2014,169.826065
25/08/2014,170.494995
26/08/2014,172.127136
27/08/2014,171.467133
28/08/2014,171.244171
29/08/2014,171.511749
02/09/2014,170.851746
03/09/2014,171.199585
04/09/2014,170.066879
05/09/2014,170.530624
08/09/2014,169.585251
09/09/2014,169.451477
10/09/2014,170.833878
11/09/2014,170.994446
12/09/2014,170.602005
15/09/2014,171.074707
16/09/2014,172.100403
17/09/2014,171.957703
18/09/2014,172.805008
19/09/2014,173.027985
22/09/2014,172.234177
23/09/2014,170.905243
24/09/2014,171.520676
25/09/2014,168.577423
26/09/2014,169.513885
29/09/2014,169.139297
30/09/2014,169.308746
01/10/2014,166.936279
02/10/2014,166.704453
03/10/2014,168.274155
06/10/2014,168.604126
07/10/2014,165.634155
08/10/2014,168.889557
09/10/2014,166.26738
10/10/2014,165.830353
13/10/2014,163.680878
14/10/2014,163.930618
15/10/2014,162.102249
16/10/2014,160.398697
17/10/2014,162.369812
20/10/2014,150.819733
21/10/2014,145.58429
22/10/2014,144.299973
23/10/2014,144.647812
24/10/2014,144.55864
27/10/2014,144.371323
28/10/2014,145.914291
29/10/2014,145.789444
30/10/2014,146.583221
31/10/2014,146.627823
03/11/2014,146.592148
04/11/2014,145.067017
05/11/2014,144.326721
06/11/2014,144.991272
07/11/2014,145.539047
10/11/2014,146.814194
11/11/2014,146.64357
12/11/2014,145.404327
13/11/2014,146.185593
14/11/2014,147.415848
17/11/2014,147.415848
18/11/2014,145.377396
19/11/2014,144.96431
20/11/2014,144.254883
21/11/2014,144.506348
24/11/2014,145.610855
25/11/2014,145.260635
26/11/2014,145.431259
28/11/2014,145.628845
01/12/2014,145.063065
02/12/2014,146.07782
03/12/2014,147.739166
04/12/2014,147.317078
05/12/2014,146.616638
08/12/2014,145.350433
09/12/2014,146.365189
10/12/2014,144.138138
11/12/2014,144.641037
12/12/2014,139.531418
15/12/2014,137.448029
16/12/2014,135.966339
17/12/2014,136.433289
18/12/2014,141.596817
19/12/2014,142.342148
22/12/2014,144.973328
23/12/2014,145.691696
24/12/2014,145.314514
26/12/2014,145.781494
29/12/2014,144.138138
30/12/2014,143.725052
31/12/2014,144.075256
02/01/2015,145.53006
05/01/2015,143.240128
06/01/2015,140.151047
07/01/2015,139.235062
08/01/2015,142.261337
09/01/2015,142.880966
12/01/2015,140.483292
13/01/2015,140.815552
14/01/2015,139.908569
15/01/2015,138.804031
16/01/2015,141.111877
20/01/2015,140.941269
21/01/2015,136.576981
22/01/2015,139.54039
23/01/2015,139.97142
26/01/2015,140.411469
27/01/2015,137.995804
28/01/2015,136.092056
29/01/2015,139.621201
30/01/2015,137.672531
02/02/2015,138.884857
03/02/2015,142.306229
04/02/2015,140.950241
05/02/2015,141.803345
06/02/2015,141.72197
09/02/2015,140.844788
10/02/2015,143.385864
11/02/2015,143.060333
12/02/2015,143.349716
13/02/2015,145.049789
17/02/2015,145.556198
18/02/2015,146.668503
19/02/2015,148.20578
20/02/2015,147.988754
23/02/2015,147.31958
24/02/2015,149.055832
25/02/2015,147.229172
26/02/2015,145.474808
27/02/2015,146.442413
02/03/2015,145.122116
03/03/2015,145.619492
04/03/2015,144.163574
05/03/2015,145.755142
06/03/2015,143.331604
09/03/2015,145.384399
10/03/2015,142.707657
11/03/2015,141.794296
12/03/2015,142.861389
13/03/2015,139.515488
16/03/2015,142.047485
17/03/2015,141.938965
18/03/2015,144.516251
19/03/2015,144.516251
20/03/2015,147.29245
23/03/2015,148.874985
24/03/2015,147.40094
25/03/2015,143.964645
26/03/2015,145.221573
27/03/2015,145.049789
30/03/2015,147.102554
31/03/2015,145.140244
01/04/2015,143.946548
02/04/2015,145.094986
06/04/2015,146.532867
07/04/2015,146.559967
08/04/2015,146.361053
09/04/2015,146.804123
10/04/2015,147.274368
13/04/2015,146.840332
14/04/2015,146.76796
15/04/2015,148.422836
16/04/2015,147.518524
17/04/2015,145.293945
20/04/2015,150.258575
21/04/2015,148.54039
22/04/2015,149.53511
23/04/2015,153.94812
24/04/2015,153.532135
27/04/2015,154.391205
28/04/2015,157.275925
29/04/2015,157.710007
30/04/2015,154.897629
01/05/2015,157.04985
04/05/2015,157.321136
05/05/2015,156.516342
06/05/2015,154.940033
07/05/2015,155.796494
08/05/2015,157.336334
11/05/2015,155.914932
12/05/2015,155.395599
13/05/2015,156.971878
14/05/2015,158.58461
15/05/2015,157.864807
18/05/2015,157.682571
19/05/2015,158.065262
20/05/2015,158.320389
21/05/2015,157.937698
22/05/2015,156.917221
26/05/2015,155.012909
27/05/2015,156.716751
28/05/2015,156.452545
29/05/2015,154.575562
01/06/2015,155.058472
02/06/2015,154.575562
03/06/2015,154.821594
04/06/2015,153.418396
05/06/2015,152.525513
08/06/2015,150.648544
09/06/2015,150.958313
10/06/2015,153.910446
11/06/2015,153.782898
12/06/2015,152.151932
15/06/2015,151.486786
16/06/2015,152.015259
17/06/2015,152.315933
18/06/2015,153.299988
19/06/2015,152.151932
22/06/2015,152.826172
23/06/2015,153.637085
24/06/2015,152.133713
25/06/2015,151.3228
26/06/2015,150.757889
29/06/2015,148.48912
30/06/2015,148.20668
01/07/2015,149.874069
02/07/2015,150.420746
06/07/2015,150.092743
07/07/2015,150.33876
08/07/2015,148.662247
09/07/2015,149.290955
10/07/2015,152.115479
13/07/2015,154.329575
14/07/2015,153.627991
15/07/2015,153.555115
16/07/2015,155.805634
17/07/2015,157.181442
20/07/2015,157.828369
21/07/2015,148.580276
22/07/2015,146.101929
23/07/2015,147.359329
24/07/2015,145.555237
27/07/2015,144.935699
28/07/2015,145.828629
29/07/2015,146.776199
30/07/2015,146.657715
31/07/2015,147.596237
03/08/2015,144.607681
