Title,Time,URL
      RBC Chief Says Some Commercial Clients Are Anxious About Nafta    , an hour ago ,https://www.bloomberg.com/news/articles/2018-02-23/rbc-chief-says-some-commercial-clients-are-anxious-about-nafta
      China's Geely Is Buying $9 Billion Stake in Daimler    , an hour ago ,https://www.bloomberg.com/news/articles/2018-02-23/china-s-geely-is-said-to-be-buying-9-billion-stake-in-daimler
      Fed Says U.S. Labor Market Near or Beyond Full Employment    , Updated 2 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/fed-says-u-s-labor-market-near-or-beyond-full-employment
      Icahn's Biofuel Fight Lives On as Trump Said to Plan Meetings    , 2 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/icahn-s-biofuel-fight-lives-on-as-trump-said-to-plan-meetings-je074x62
      Four Ex-Deutsche Bank Traders Evade U.K. Euribor Case    , Updated 2 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/four-ex-deutsche-bank-traders-evade-u-k-euribor-rigging-charges
      YouTube Holds Spending for TV| Films While Rivals Bulk Up    , 2 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/youtube-said-to-hold-spending-for-tv-films-while-rivals-bulk-up
      RBC Mortgage Juggernaut Rolls on as Profit Beats Estimates    , Updated 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/royal-bank-s-mortgage-juggernaut-shows-little-sign-of-slowing
      Shkreli's Request to Have Conviction Voided Rejected by Judge    , 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/shkreli-s-request-to-have-conviction-voided-rejected-by-judge
      Pimco Skips Brazil for `Reform Play' as Pension Revamp Fails    , Updated 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/pimco-skips-brazil-for-reform-play-as-pension-revamp-falters
      Currency Markets May Be About to Get Some Direction    , Updated 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/drifting-currency-markets-may-be-given-direction-by-fed-s-powell
      Wynn Resorts Asks Bondholders to Shield It as Founders Fight    , Updated 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/wynn-resorts-asks-bondholders-to-shield-it-as-founders-fight
      Abraaj's Naqvi Cedes Control of Funds Division in Reshuffle    , Updated 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/abraaj-s-naqvi-cedes-control-of-funds-division-in-restructuring
      Popular Carry Trades Are Set Back as Yen Surge Erodes Gains    , Updated 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/popular-carry-trades-suffer-setback-as-yen-surge-erodes-gains
      U.K’s New Brexit Gotta-Have Is ‘Mutual Recognition’    ,,https://www.bloomberg.com/news/articles/2018-02-23/u-k-s-new-brexit-gotta-have-is-mutual-recognition-quicktake
      Swiss Re Says Adding Anchor Shareholder Would Be `Attractive'    ,,https://www.bloomberg.com/news/articles/2018-02-23/swiss-re-highlights-rising-prices-as-disasters-wipe-out-profit
      Phoenix Triples Business in Standard Life Deal; Shares Jump    ,,https://www.bloomberg.com/news/articles/2018-02-23/standard-life-to-sell-insurance-unit-to-phoenix-for-4-5-billion
      Free Candy Creates Wild Frenzy at Wall Street Event    ,,https://www.bloomberg.com/news/articles/2018-02-23/wall-street-analysts-get-physical-in-the-scramble-for-free-candy
      Eskom Remains a Key Risk to South Africa's Finances| Fitch Says    ,,https://www.bloomberg.com/news/articles/2018-02-23/eskom-remains-a-key-risk-to-south-africa-s-finances-fitch-says
      Austria Eyes Bitcoin Rules Based on Gold| Derivatives    ,,https://www.bloomberg.com/news/articles/2018-02-23/austria-seeks-bitcoin-rules-based-on-gold-derivatives-controls
      Inditex Slumps to Three-Year Low as Earnings Doubts Take Hold    ,,https://www.bloomberg.com/news/articles/2018-02-23/inditex-slumps-to-three-year-low-as-earnings-doubts-take-hold
    Mnuchin Urges Markets to Shrug Off Tax Cuts| Debt Worries   , Updated 3 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/mnuchin-says-trump-policies-will-raise-wages-without-inflation
  Anbang Seizure Whets Buyers' Appetites for Buildings Across U.S.     , 2 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/anbang-seizure-whets-buyers-appetites-for-buildings-across-u-s
  Traders Are Acting Like Canada and the U.S. Are the Same Economy     , 4 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/traders-are-acting-like-canada-and-the-u-s-are-the-same-economy
  European Investors Are Now Blocked From Investing in One of the Most Popular ETFs     ,,https://www.bloomberg.com/news/articles/2018-02-23/the-unforeseen-boost-to-europe-s-etfs-as-spy-no-longer-an-option
  Wall Street May Be Rethinking Its Relationship With Guns     ,,https://www.bloomberg.com/news/articles/2018-02-23/guns-and-more-guns-will-wall-street-ever-let-go-of-firearms
  VIX Funds Face Fresh Scrutiny From U.S. Regulators     , Updated 2 hours ago ,https://www.bloomberg.com/news/articles/2018-02-23/vix-fund-blowups-spur-u-s-to-probe-if-misconduct-played-a-role
  Equity Investors Fleeing Wall Street Are Turning to Europe     ,,https://www.bloomberg.com/news/articles/2018-02-23/equity-investors-fleeing-wall-street-are-turning-to-europe
  What Stock Slump? Central Bankers Eyeing Tighter Monetary Policy     ,,https://www.bloomberg.com/news/articles/2018-02-23/what-stock-slump-central-bankers-eyeing-tighter-monetary-policy
  ETF Investors Returned to Stocks Soon After Rout| BlackRock Says     ,,https://www.bloomberg.com/news/articles/2018-02-23/etf-investors-returned-to-stocks-soon-after-rout-blackrock-says
  The Best Ways to Hedge the Risk of an Italian Election Upset     ,,https://www.bloomberg.com/news/articles/2018-02-23/the-best-ways-to-hedge-the-risk-of-an-italian-election-upset
  With Elections to Win| One Nafta Team May Prefer to Keep Talking     ,,https://www.bloomberg.com/news/articles/2018-02-23/with-elections-to-win-one-nafta-team-may-prefer-to-keep-talking
        Full Show: What'd You Miss?| 2/22/2018  ,,https://www.bloomberg.com/news/videos/2018-02-23/full-show-what-d-you-miss-2-22-2018-video
        Why Inflation Is a Bigger Risk to Stocks Than Rising Rates  ,,https://www.bloomberg.com/news/videos/2018-02-22/why-inflation-is-a-bigger-risk-to-stocks-than-rising-rates-video
        Manafort and Gates Face New Charges of Bank| Tax Fraud  ,,https://www.bloomberg.com/news/videos/2018-02-22/manofort-and-gates-face-new-fraud-on-tax-and-bank-charges-video
        How Legal Patchwork Applied to ICOs Offers Investors Opportunity  ,,https://www.bloomberg.com/news/videos/2018-02-22/how-legal-patchwork-applied-to-icos-offers-opportunity-video
        MetLife's Matus Sees No Inflation Push  ,,https://www.bloomberg.com/news/videos/2018-02-22/metlife-s-matus-sees-no-inflation-push-video
        How to Trade the Treasury Bond ETF  ,,https://www.bloomberg.com/news/videos/2018-02-22/how-to-trade-the-treasury-bond-etf-video
        Bitwise's Hougan Calls Bitcoin Multitrillion Dollar Opportunity  ,,https://www.bloomberg.com/news/videos/2018-02-22/bitwise-calls-bitcoin-multitrillion-dollar-opportunity-video
        What Is Inside VXX Is What Scares Me| Says Trader Saluzzi  ,,https://www.bloomberg.com/news/videos/2018-02-22/what-is-inside-vxx-is-what-scares-me-says-trader-saluzzi-video
        An ETF That Digs Buffett's 'Moat' Philosophy  ,,https://www.bloomberg.com/news/videos/2018-02-22/an-etf-that-digs-buffett-s-moat-philosophy-video
        When Passive Investors Become Active  ,,https://www.bloomberg.com/news/videos/2018-02-22/when-passive-investors-become-active-video
